"","1","2","3","1|2","1|3","2|1","2|3","3|1","3|2","","",""
"result.1",0.51474475,0.026983,0.52423525,0.364031875651968,0.528136952370486,0.0402926301657005,0.0405027489347887,0.541361862259059,0.580043472369019,96,3,70.2319181430215
"result.2",0.99901,0.01624375,0.01074925,0.999008946544578,0.999009998751296,0.000350138402114368,0.104512763698206,0.991652223079716,0.0276607821282447,77,12,68.1984525014537
"result.3",0.47728225,0.025984,0.5095,0.456714427390955,0.443521764073482,0.0246861831085196,0.0403799431394658,0.475204392451395,0.549507656710956,83,3,67.1855537357613
"result.4",0.302707,0.0554545,0.81544375,0.23369290335036,0.740996639466476,0.052949927441843,0.0591062988088719,0.827839445185947,0.84312186163162,89,3,68.9212915790352
"result.5",0.48277675,0.232777,0.7627465,0.38732182722279,0.78773253929746,0.242032270734341,0.261667398980067,0.848166263982962,0.796391008438722,91,8.18126924692202,69.7733956949309
"result.6",0.99726175,0.1983115,0.023986,0.994292264132005,0.987077544460258,0.514097901671898,0.218893765927902,0.706810157937413,0.030133190335927,81,3,69.5009587483384
"result.8",0.68357575,0.20155825,0.3911185,0.483444139616139,0.678442666395501,0.29030384083598,0.236401792085583,0.573538416734142,0.505804167583922,93,33.2688847284541,69.2926970521044
"result.9",0.285724,0.73302625,0.55520425,0.303954988096656,0.209062751497553,0.688909640582117,0.714049465636876,0.224022914621901,0.546026054781338,86,3,68.1304625933324
"result.10",0.8786305,0.8186905,0.08867125,0.91988188986462,0.45033978446613,0.856598955589728,0.782190281928599,0.281018543523601,0.0855572111837597,85,3,69.6653900840471
"result.11",0.304705,0.890119,0.69256675,0.438997878154426,0.438676527029836,0.877320515365399,0.881478187475586,0.541030910381708,0.596222216048503,90,3,69.7251097673011
"result.12",0.97728175,0.10165825,0.282727,0.969765265322392,0.993599037962769,0.161554346372047,0.0370122376327847,0.979610181488711,0.285420607574091,86,6,70.2399126454798
"result.13",0.812197,0.35490475,0.23352625,0.790071456604837,0.693461972813751,0.584404172297661,0.442697368270714,0.519712227268745,0.260783285610054,88,28.9063462346101,68.6949518428247
"result.14",0.8017075,0.10465525,0.50425525,0.652813600195544,0.972106546536154,0.149252078514157,0.105857859739745,0.953461309084021,0.627235754022292,70,9,62.7520871322693
"result.15",0.95905,0.17008975,0.0494605,0.9198670469065,0.763102679349232,0.470063454447594,0.330604268736895,0.475178793463581,0.104400232704584,69,9,64.1166640822354
"result.16",0.808201,0.167842,0.33092875,0.77180707572003,0.832511447244174,0.217737663548451,0.15306767933367,0.642659385803754,0.31425950670777,88,3,70.4369987381119
"result.17",0.93732175,0.0045055,0.15860125,0.748975093270089,0.905349578177409,0.0127984646652086,0.00729717795896272,0.655628528034135,0.202949771883866,89,15,70.6044757456312
"result.19",0.42333625,0.357652,0.7337755,0.398084556321287,0.761053142873249,0.353531025963416,0.340399986539667,0.796434429560234,0.74442859702369,87,3,69.5414123081366
"result.20",0.98477425,0.0065035,0.05870125,0.942782098828388,0.935923174906619,0.0728712357524116,2.24637266689655e-05,0.693358843162404,0.102860427245251,75,5.18126924692202,67.6859293850757
"result.21",0.063946,0.5299795,0.98027875,0.0645983538490724,0.548512272070664,0.425479468448331,0.630354228977798,0.957383994757461,0.985915627317439,89,3,69.1156085749138
"result.22",0.40235725,0.42933025,0.896113,0.395532602209295,0.91359128934956,0.384369170902109,0.393818336185248,0.977487368124063,0.909267399621357,85,3,69.0645108303473
"result.23",0.983026,0.1603495,0.06469525,0.967465378606088,0.989321342806603,0.369355415939071,0.176970526750376,0.731542202732153,0.0747986099052687,82,3,69.8576820452713
"result.24",0.333676,0.3721375,0.6158935,0.270771877520563,0.436165929554114,0.323067604409163,0.3624990617432,0.423959054481996,0.656753083332085,83,14.181269246922,67.4604314726418
"result.25",0.3521575,0.64661275,0.88137775,0.410440215848164,0.89730248439343,0.562577538036273,0.501878474919525,0.955773227793309,0.862841136521572,84,17.181269246922,67.5094251362066
"result.26",0.171838,0.10315675,0.86689225,0.0271066012325567,0.467362381529601,0.0259025453711957,0.0459965218856122,0.709078243942749,0.937346497250966,92,22.2141277868017,69.5678152125877
"result.27",0.21304675,0.81794125,0.9665425,0.336727129729714,0.984411953170143,0.715956009597299,0.609763705082009,0.995745489649118,0.946109339412001,77,11.181269246922,64.8519020255998
"result.29",0.99876025,0.0524575,0.006004,0.998919231492603,0.875734532565513,0.00802540739691005,0.0096096721905135,0.6694935167517,0.00685120420605556,78,8.18126924692202,69.1528844195011
"result.30",0.67758175,0.0814285,0.220789,0.427932515422209,0.392161759096508,0.0999611674750455,0.0940947744271466,0.237100066662832,0.326089861030586,88,16.362538493844,70.134477068265
"result.31",0.848161,0.58617325,0.18982,0.832237636625464,0.714968654218267,0.651378268244908,0.589660913349182,0.475419728945715,0.176144966688316,84,3,69.9499128882022
"result.32",0.68157775,0.63662275,0.44331625,0.707521455993207,0.769288293608057,0.6893149579378,0.57752529288232,0.682909547347702,0.437117824344415,87,6,70.2989747558398
"result.33",0.1363735,0.5779315,0.91484425,0.13346807343486,0.642095614073944,0.501688206631284,0.533666809970437,0.790941185902879,0.910000374645011,67,3,61.2232182864114
"result.34",0.86489425,0.36789175,0.1163935,0.84536966718839,0.561780508392729,0.443163319854662,0.439369043715772,0.342273622134162,0.131618669261893,65,3,63.1105531446812
"result.35",0.39886075,0.377632,0.8576515,0.279463550725399,0.904185990837764,0.296394115263892,0.241922207462298,0.969124764968076,0.911895557779206,85,22.9063462346101,68.1183851611925
"result.36",0.847162,0.344665,0.30645325,0.830360432858712,0.86223614968235,0.528389899100476,0.323081821253211,0.677135786141633,0.350625603857523,86,17.7250769876881,69.9568909567355
"result.37",0.60665275,0.1723375,0.46029925,0.300439891701705,0.629177855489071,0.162160615928941,0.166277130321677,0.586412060176651,0.617533280508124,85,41.8892876460076,66.2324679026908
"result.38",0.730279,0.500509,0.4860235,0.700825485590753,0.821794308315775,0.544421630414705,0.425269476785333,0.740038467828452,0.5100605024,87,3,70.5337806491407
"result.39",0.2672425,0.99526375,0.50125825,0.524529696600488,0.0587403603991799,0.994356182222237,0.995557403025422,0.0868671528646227,0.374651347996272,69,3,62.9192180838155
"result.40",0.90585325,0.564445,0.57718225,0.899117696236981,0.979744826020027,0.658826946480147,0.516152443280824,0.982736049630753,0.59014464979861,81,3,69.4460014302857
"result.41",0.29946025,0.84141775,0.7018075,0.455009539944566,0.39786229413881,0.780559082221562,0.816761010237693,0.580698945518565,0.612813091646127,81,17.5766662806457,67.0428410758866
"result.42",0.0114985,0.50575375,0.918091,0.0164061121382058,0.0263000962790859,0.402597822838814,0.433485932318509,0.288956828231179,0.90620210980641,93,3,70.5969587780011
"result.43",0.08217775,0.25700275,0.92383525,0.0217717628654526,0.385929746068873,0.0379695235926732,0.0952799339248022,0.71109172101773,0.966088267218263,75,15.5438077407661,63.1647262779925
"result.44",0.834175,0.0734365,0.71454475,0.418848838351008,0.98481497995963,0.171112194889125,0.0361524906702362,0.985482433281891,0.89505338057301,90,47.0268202560219,69.0746629283725
"result.45",0.36839125,0.0634465,0.8756335,0.31570694334504,0.954346657304612,0.0533124393735605,0.0635129097709904,0.985465211779459,0.912745559129385,65,3,61.3163466006133
"result.46",0.48477475,0.72153775,0.556453,0.581415356834236,0.586091950227022,0.728315737014992,0.734666424125082,0.636424978710842,0.531343712716205,63,3,60.747350968396
"result.47",0.075934,0.7587505,0.60215725,0.0681512006276754,0.0143680187807079,0.669316169515122,0.764072465792048,0.0680259796080809,0.60694225419533,87,3,69.6635789157376
"result.48",0.282727,0.60565375,0.903106,0.297009023746907,0.891953253365002,0.548790656028234,0.5291932926061,0.949179279004889,0.891100931855044,79,6,67.4103803632592
"result.49",0.8846245,0.3611485,0.10815175,0.879199559860787,0.601111958980063,0.724553791633493,0.535521467924719,0.320941366672983,0.133336730844164,81,31.3076995111127,67.7137095602466
"result.50",0.8756335,0.11564425,0.06769225,0.741844533326334,0.341781003695539,0.284967020047028,0.217592255894001,0.140951293220009,0.127222862696225,70,14.181269246922,64.7975682591278
"result.51",0.45730225,0.5060035,0.6598495,0.450839745981503,0.671695565621192,0.459257000569228,0.423293670956608,0.714659289040879,0.660403980139114,82,16.7579355275677,68.2236288719333
"result.53",0.347662,0.09466525,0.62063875,0.229103046427846,0.374858941460607,0.0881823610566914,0.0771146833306266,0.439035062448774,0.693591572655532,78,3,67.5452905637188
